Item,Cost,Quantity,Total,Link
"Adhesive Cork Sheet 15.7x19.7""",$9.99,1,$9.99,https://a.co/d/iCnySqv
Sabrent USB Hub 9 in 1,$49.99,1,$49.99,https://a.co/d/fTbal9V
Dust Filter 400x300mm,$8.99,1,$8.99,https://a.co/d/0loqiyE
M4x12mm BHCS 100pc,$12.58,1,$12.58,https://www.mcmaster.com/91239a148/
M4x25mm Low Profile SHCS 25pc,$9.37,1,$9.37,https://www.mcmaster.com/93070A109/
100x100x1.5mm thermal pad,$9.99,1,$9.99,https://a.co/d/asofRSC
Noctua NF-A6x15 5V,$15.95,2,$31.90,https://a.co/d/2aiRH9k
1FT + 1FT usb c cable,$12.98,1,$12.98,https://a.co/d/fQpW5yh
,,,,
,,,$145.79,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
, ,,,
